capability	platform	profile	cli_flag	default	dependencies	conflicts	provider	packages	stow	verifier	state	docs	provenance	status	installers
base	fedora	workstation	-	enabled	-	-	dnf+terra	bat,curl,eza,fd-find,firewalld,fzf,gh,git,git-delta,gnupg2,jq,libicu,neovim,openssh-clients,ripgrep,ShellCheck,shadow-utils,sqlite,sqlite-devel,stow,tmux,wl-clipboard,xdg-utils,zoxide,zsh,zsh-autosuggestions,zsh-syntax-highlighting,ghostty,mise,starship	bat,bin,fzf,git,lazygit,mise,nvim-lazyvim,starship,tmux,zsh,ghostty,zsh-platform,theme-hooks,theme-assets	platforms/fedora/scripts/verify.sh	install	docs/platforms/README.md#supported-environment	native+pinned	implemented	platforms/fedora/scripts/install-system.sh,platforms/fedora/scripts/install-terra.sh
base	fedora-wsl	workstation	-	enabled	-	-	dnf+upstream	bat,bzip2,curl,eza,fd-find,fzf,gawk,gcc,gcc-c++,gh,git,git-delta,jq,libicu,make,neovim,openssh-clients,procps-ng,ripgrep,ShellCheck,shadow-utils,sqlite,sqlite-devel,stow,tmux,unzip,zoxide,zsh,zsh-autosuggestions,zsh-syntax-highlighting,starship,mise	bat,bin,fzf,git,lazygit,mise,nvim-lazyvim,starship,tmux,zsh,interop,nvim-wsl,theme-hooks,zsh-platform	platforms/fedora-wsl/scripts/verify.sh	install	docs/platforms/fedora-wsl.md	native+upstream	implemented	platforms/fedora-wsl/scripts/install-system.sh
base	macos	workstation	-	enabled	-	-	homebrew	bash,bat,coreutils,eza,fd,fzf,gh,git,git-delta,jq,mise,neovim,ripgrep,shellcheck,sqlite,starship,stow,tmux,zoxide,zsh-autosuggestions,zsh-syntax-highlighting,ghostty,aerospace	bat,bin,fzf,git,lazygit,mise,nvim-lazyvim,starship,tmux,zsh,ghostty,zsh-platform,aerospace,nvim-macos,ghostty-macos,theme-hooks	platforms/macos/scripts/verify.sh	install	docs/platforms/macos.md	native+pinned	implemented	platforms/macos/Brewfile
base	parrot-ctf	ctf-guest	-	enabled	-	-	apt+upstream	bat,build-essential,ca-certificates,curl,eza,fd-find,fontconfig,fzf,gh,git,git-delta,jq,konsole,lazygit,pipx,python-is-python3,python3,python3-dev,python3-pip,python3-venv,ripgrep,shellcheck,sqlite3,starship,stow,tmux,unzip,xclip,xdg-utils,xxd,xz-utils,zoxide,zsh,zsh-autosuggestions,zsh-syntax-highlighting,mise	bat,bin,fzf,git,lazygit,nvim-lazyvim,starship,tmux,zsh,command-shims,mise-ctf,neovim-profile,zsh-platform	platforms/parrot-ctf/scripts/verify.sh	install	docs/platforms/parrot-ctf.md	parrot-native+upstream	implemented	platforms/parrot-ctf/scripts/install-system.sh
dotnet-debug	fedora	workstation	-	enabled	base	-	mise-easydotnet	EasyDotnet	-	platforms/fedora/scripts/verify.sh	-	docs/workflows/development.md#net-development	ecosystem+pinned	implemented	mise/.config/mise/config.toml
dotnet-debug	fedora-wsl	workstation	-	enabled	base	-	mise-easydotnet	EasyDotnet	-	platforms/fedora-wsl/scripts/verify.sh	-	docs/workflows/development.md#net-development	ecosystem+pinned	implemented	mise/.config/mise/config.toml
dotnet-debug	macos	workstation	-	enabled	base	-	mise-easydotnet	EasyDotnet	-	platforms/macos/scripts/verify.sh	-	docs/platforms/macos.md#4-development-workflows	native+ecosystem+pinned	implemented	mise/.config/mise/config.toml
dotnet-debug	parrot-ctf	ctf-guest	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/parrot-ctf.md	intentional-absence	unsupported	-
kde	fedora	workstation	--kde	auto	base	-	dnf+upstream-theme	kio-extras	-	platforms/fedora/scripts/verify.sh	-	docs/platforms/fedora.md#defaults-that-resolve-themselves	native+upstream	implemented	platforms/fedora/scripts/install-kde-theme.sh
kde	fedora-wsl	workstation	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/fedora-wsl.md	intentional-absence	unsupported	-
kde	macos	workstation	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/macos.md	intentional-absence	unsupported	-
kde	parrot-ctf	ctf-guest	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/parrot-ctf.md	intentional-absence	unsupported	-
latex	fedora	workstation	--latex	auto	base	-	dnf	texlive-scheme-medium,latexmk,biber,texlive-biblatex,texlive-latexindent	-	platforms/fedora/scripts/verify.sh	-	docs/platforms/fedora.md#defaults-that-resolve-themselves	native	implemented	platforms/fedora/scripts/install-latex.sh
